날짜,평균기온,최저기온,최고기온,강수량,습도,요일,일조 시간,일출시간,전기 사용량
2019.5.1,16.4,11.2,22.2,0,48.9,2,10.9,5:38,24.533
2019.5.2,17.1,10.6,25.3,0,28.5,3,12.7,5:37,23.807
2019.5.3,17.9,10.1,26.1,0,37.5,4,12.4,5:35,23.758
2019.5.4,19.5,12,27.4,0,40.4,5,10.7,5:34,24.212
2019.5.5,19.2,13.6,26.5,0,35.8,6,11.1,5:33,23.973
2019.5.6,14.5,9.8,19.8,0,27.1,0,12.8,5:32,24.654
2019.5.7,15,8.4,21.9,0,33.4,1,12.9,5:31,23.951
2019.5.8,15.6,10.1,21.3,0,48.3,2,12.2,5:30,23.827
2019.5.9,16.6,11.7,22.9,0,43.3,3,12.1,5:29,23.882
2019.5.10,17.8,10.3,26.8,0,48,4,12.3,5:28,23.941
2019.5.11,20.3,13.2,28.3,0,39,5,12.7,5:27,24.805
2019.5.12,21.6,14.7,28.9,0,36,6,12,5:26,25.361
2019.5.13,18.7,15.5,22.8,0,43.4,0,1,5:25,24.667
2019.5.14,19.6,12.9,26.9,0,44.5,1,13,5:24,24.199
2019.5.15,20.7,14.8,28,0,48.1,2,8.4,5:23,24.515
2019.5.16,23.5,16.7,30,0,43.8,3,12.5,5:23,24.866
2019.5.17,23.6,17.6,28.3,0,44.9,4,4.2,5:22,25.326
2019.5.18,22.8,19.1,25.9,0,46.8,5,4.3,5:21,25.804
2019.5.19,19.4,17.9,21.6,22,93,6,0,5:20,26.782
2019.5.20,16.4,13,20.2,8.7,63.6,0,10.5,5:19,24.424
2019.5.21,17.2,11.7,23.8,0,52,1,13.1,5:19,23.728
2019.5.22,19.5,12.3,26.5,0,46,2,12.6,5:18,24.127
2019.5.23,22.1,15,29.2,0,45,3,13.2,5:17,24.378
2019.5.24,24.2,16.2,33.4,0,46.4,4,12.7,5:17,25.173
2019.5.25,23.4,18.4,28.6,0,45.6,5,7.1,5:16,26.038
2019.5.26,24.5,18.6,31.1,0,39,6,11,5:16,26.482
2019.5.27,17.8,14.3,22.3,7.1,80.9,0,0,5:15,25.414
2019.5.28,18.1,11.9,24.6,0,45.9,1,13,5:15,22.96
2019.5.29,20.3,13.3,26.5,0,48.4,2,13.3,5:14,23.64
2019.5.30,19.6,14.6,24.5,0,48,3,7,5:14,23.411
2019.5.31,19.1,16.1,23.3,0,49.6,4,12.3,5:13,22.28
2019.6.1,18.9,14.8,23.7,0,60.5,5,9.4,5:13,23.141
2019.6.2,21.1,14.1,27.8,0,42.1,6,13,5:12,24.293
2019.6.3,23.1,16,29.5,0,42.9,0,12.3,5:12,23.213
2019.6.4,22.6,17.6,29,0,56.4,1,12.8,5:12,23.63
2019.6.5,23,17.8,29.6,0,63.8,2,8.9,5:11,24.206
2019.6.6,21.2,18.6,25.1,7.9,75.9,3,0,5:11,26.337
2019.6.7,20,17,24.7,35.3,77.3,4,3.7,5:11,23.912
2019.6.8,21.9,16,27.6,0,57.5,5,9.3,5:11,22.86
2019.6.9,21.6,17.1,26.5,2.5,66.1,6,4.2,5:11,24.973
2019.6.10,18.4,15.7,21.9,9.5,70.3,0,0.6,5:10,23.971
2019.6.11,20.5,15.5,26.1,0,51.1,1,10.7,5:10,23.68
2019.6.12,21.5,16.1,26.4,0,57.1,2,13,5:10,24.13
2019.6.13,23,16.6,28.8,0,51.9,3,12.3,5:10,24.438
2019.6.14,23,19.1,28.4,0,54.8,4,6.1,5:10,24.705
2019.6.15,21.9,17.9,27.4,2.1,61.5,5,12.2,5:10,25.699
2019.6.16,22,16.1,27.2,0,55.4,6,11.1,5:10,26.436
2019.6.17,21.7,18.1,26.2,0,59.1,0,12.7,5:10,24.265
2019.6.18,20.8,17,24.8,13.8,78.6,1,2,5:10,24.842
2019.6.19,21.4,18.9,25.4,0.2,77.8,2,0.9,5:11,25.233
2019.6.20,22.7,19.8,27.8,0,70.6,3,6.9,5:11,24.755
2019.6.21,22.1,19.4,26.1,0.2,72.9,4,3.4,5:11,24.971
2019.6.22,24.2,17.7,30.6,0,42.3,5,13,5:11,25.627
2019.6.23,25,19.1,31,0,40.4,6,12.9,5:11,26.594
2019.6.24,25.2,20.9,30.9,0,46.9,0,13.6,5:12,26.066
2019.6.25,25.6,19.5,32.8,0,49.1,1,13.4,5:12,26.86
2019.6.26,25.5,20.7,29.5,0,52.6,2,1.1,5:12,26.767
2019.6.27,25.5,21.9,31.2,1.4,70.5,3,3.9,5:13,28.005
2019.6.28,24.7,22.3,29,0,67.3,4,2.4,5:13,28.382
2019.6.29,23.1,19.6,27.7,1.5,72,5,4.1,5:13,28.131
2019.6.30,23.9,20.9,28.5,0,73.5,6,5.2,5:14,28.903
2019.7.1,23.9,20.6,28.9,0,64.4,0,10.9,5:14,26.901
2019.7.2,24.4,20.8,30.1,0,63.5,1,11.9,5:15,26.922
2019.7.3,24.1,21.2,27.4,0,64.6,2,3.3,5:15,26.868
2019.7.4,25.4,20,32.8,0,59.6,3,12.7,5:16,27.479
2019.7.5,27.6,20.2,35,0,42.1,4,11.8,5:16,29.582
2019.7.6,29.7,24.6,36.1,0,40.9,5,11.8,5:17,33.478
2019.7.7,26.7,22.7,32.5,0,43.3,6,9.8,5:17,31.549
2019.7.8,25.1,21.2,31,0,46.6,0,9.3,5:18,28.392
2019.7.9,25,19.7,30,0,46.4,1,7.7,5:18,28.241
2019.7.10,22.7,19.3,27.3,8.5,64.1,2,3.1,5:19,27.057
2019.7.11,21.9,19.5,25.9,2.9,76.9,3,0,5:20,26.834
2019.7.12,23.6,20,28.7,0,65.5,4,7,5:20,26.754
2019.7.13,24.9,22.1,29.7,0,67.3,5,4.1,5:21,28.589
2019.7.14,25.9,21.2,31.6,0,64.6,6,7.8,5:22,30.68
2019.7.15,23.8,22.1,27.4,7.7,80,0,0.1,5:22,29.202
2019.7.16,24.7,21.4,28.8,6.3,79,1,4,5:23,28.908
2019.7.17,25.6,22.3,29.2,0.7,73.9,2,1,5:24,30.217
2019.7.18,26.9,23.3,32.1,0,65,3,3.2,5:24,31.307
2019.7.19,28.6,22.8,35,0,61.3,4,9.8,5:25,34.418
2019.7.20,28,25.1,31.9,1.1,66.9,5,1.2,5:26,36.341
2019.7.21,25.1,24.2,27,6.2,87.1,6,0.6,5:27,35.206
2019.7.22,26.7,24.2,31,0.1,74.6,0,6.1,5:27,34.697
2019.7.23,28.1,24.4,32.9,0,70.8,1,4,5:28,36.344
2019.7.24,26.5,25.2,27.2,1,82.3,2,0,5:29,36.061
2019.7.25,26.3,25.6,27.4,9.7,90.1,3,0,5:30,36.77
2019.7.26,25.1,23.7,25.9,60,95.3,4,0,5:30,35.699
2019.7.27,28.4,24.9,33.4,0.6,76.6,5,4.7,5:31,38.804
2019.7.28,26.1,25,28.2,25.6,88.3,6,0,5:32,36.794
2019.7.29,27.5,25.6,30,0.5,74.5,0,2.6,5:33,35.036
2019.7.30,28.1,26.3,30.8,1.2,75.3,1,1.6,5:34,36.355
2019.7.31,25.8,24,27.5,62.3,91.1,2,0,5:35,35.429
2019.8.1,26.3,23.5,30.1,26.9,86.4,3,4.9,5:35,36.123
2019.8.2,28.4,24.7,33.1,0,74.6,4,8.3,5:36,38.864
2019.8.3,29.4,25.6,36,3,69,5,10.6,5:37,42.522
2019.8.4,28.3,25,34.4,8.6,75.9,6,8.6,5:38,43.725
2019.8.5,30.5,25.6,35.9,0,65.5,0,11.2,5:39,45.355
2019.8.6,31.6,27.9,36.8,0,51.4,1,9.9,5:40,47.131
2019.8.7,26.9,23.9,30.3,8,78.1,2,1.9,5:40,41.043
2019.8.8,28.9,25.9,32.7,0,71.4,3,7.5,5:41,42.846
2019.8.9,29.8,26,34.6,0,69,4,10.8,5:42,43.934
